                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0661,                 4.1838,                0.38555,                0.76008,                 1.1986,                 0.8944,                  0.764,                 0.8545,                0.56683,                0.58497,                 0.4565,                0.33873,                0.10716,                 1.2803,                 4.7412,                0.40166,                 1.1749,                 1.4684,             0.00066387,             0.00066387,             0.00066387
                      2,                 1.2175,                 4.6633,                0.39453,                0.93989,                 1.2903,                0.79275,                0.64601,                0.75128,                0.46137,                0.54336,                0.31466,                0.22268,                0.08895,                 1.5519,                 6.0431,                0.47489,                 1.4357,                 1.7044,              0.0013174,              0.0013174,              0.0013174
                      3,                  1.265,                 4.7122,                0.40434,                 1.0067,                 1.3313,                0.78821,                0.63647,                0.73161,                  0.454,                0.58449,                0.33015,                0.30484,                0.13329,                 1.5761,                 5.5044,                0.46473,                 1.5986,                 1.8023,              0.0019577,              0.0019577,              0.0019577
                      4,                  1.214,                 4.7551,                0.40276,                0.97699,                 1.3046,                0.78574,                0.67751,                0.77995,                0.47315,                0.79753,                0.39452,                0.37973,                0.18101,                 1.5805,                 5.5377,                0.49842,                 1.3753,                 1.7239,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1828,                  4.511,                0.38758,                0.93157,                 1.2842,                0.84061,                0.72919,                0.81845,                0.53867,                0.61997,                0.39333,                0.34303,                0.16318,                 1.4383,                 5.3872,                0.42375,                 1.3013,                 1.6657,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1652,                 4.4291,                0.38186,                 0.9135,                 1.2717,                0.83062,                0.73421,                0.81771,                0.53062,                0.67157,                0.37187,                0.34577,                0.19937,                 1.3822,                 5.5541,                0.42515,                 1.2123,                 1.5898,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1336,                 4.2404,                 0.3708,                0.88457,                 1.2571,                0.85561,                0.72749,                0.82617,                0.55473,                 0.7578,                0.44934,                0.44691,                0.23502,                 1.2973,                 4.8453,                 0.4021,                 1.1576,                 1.5249,               0.001901,               0.001901,               0.001901
                      8,                 1.1201,                 4.0854,                 0.3694,                0.86264,                 1.2484,                 0.8864,                 0.7254,                0.83917,                0.56999,                0.70119,                0.43504,                0.37815,                0.20042,                 1.2873,                 5.0796,                0.39881,                  1.077,                 1.4992,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1018,                 4.1296,                0.36505,                 0.8572,                 1.2463,                0.88795,                0.75805,                0.84915,                0.58541,                0.66155,                0.45054,                0.39732,                0.20803,                 1.2714,                 4.9992,                0.40516,                 1.0543,                 1.4949,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0794,                 4.0695,                 0.3682,                0.83944,                 1.2325,                0.89532,                0.75209,                0.85112,                0.59713,                0.74167,                 0.4708,                0.46404,                0.24237,                  1.257,                 4.8155,                0.39926,                 1.0467,                 1.4883,              0.0018416,              0.0018416,              0.0018416
