                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.141,                 4.0442,                0.25974,                0.79622,                 1.2462,                0.86078,                0.75586,                  0.826,                0.49997,                0.50521,                0.37731,                0.24842,                 0.0819,                 1.4691,                  5.282,                0.35025,                  1.335,                 1.6147,             0.00066365,             0.00066365,             0.00066365
                      2,                 1.2637,                 4.4917,                0.27602,                0.97397,                 1.3299,                0.71719,                0.59926,                0.64031,                0.35871,                0.41394,                 0.3083,                0.17669,                0.06619,                 1.7719,                 5.9353,                0.48894,                 1.9998,                 2.1753,               0.001304,               0.001304,               0.001304
                      3,                 1.2855,                 4.6688,                0.28946,                 1.0391,                 1.3565,                0.83103,                 0.7277,                 0.8109,                0.47562,                0.60808,                0.39457,                 0.3203,                0.11975,                 1.4961,                 5.5674,                0.37018,                 1.3953,                  1.712,              0.0019179,              0.0019179,              0.0019179
                      4,                 1.2741,                 4.5846,                0.27755,                  1.004,                 1.3504,                0.83453,                  0.709,                0.80693,                0.49342,                0.66876,                0.40081,                  0.352,                0.16606,                 1.5039,                 5.5938,                0.41688,                 1.3742,                 1.6429,              0.0018812,              0.0018812,              0.0018812
                      5,                  1.235,                 4.3493,                0.27318,                0.98004,                 1.3308,                0.86724,                0.71517,                0.81573,                0.52254,                0.70472,                0.44513,                0.40709,                0.20959,                 1.4726,                 5.1389,                0.40263,                  1.269,                 1.6825,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.2082,                 4.2545,                0.26387,                0.95893,                 1.3135,                0.86615,                0.74203,                0.82213,                0.51627,                0.68768,                0.43896,                0.38269,                 0.1842,                 1.5041,                 5.2008,                0.34612,                 1.2407,                 1.6547,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.1616,                 4.0595,                 0.2572,                0.91401,                 1.2825,                0.78256,                 0.6834,                0.75791,                0.50066,                0.65252,                0.38205,                0.34222,                0.18612,                 1.5122,                  5.455,                0.37635,                 1.5317,                 1.8099,               0.001802,               0.001802,               0.001802
                      8,                 1.1591,                 4.0908,                 0.2605,                0.90557,                 1.2913,                0.86782,                0.73859,                0.84563,                0.55314,                0.72059,                0.50308,                0.47437,                0.24076,                  1.348,                 4.6532,                0.35849,                 1.1769,                 1.5542,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.1462,                 4.0129,                0.25406,                0.90018,                 1.2795,                0.86264,                0.74969,                 0.8398,                0.56083,                0.66943,                0.44513,                0.40052,                0.21286,                 1.3325,                 5.0163,                0.34231,                 1.1125,                 1.5376,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.1386,                 3.9555,                0.25293,                0.87359,                 1.2695,                0.90176,                0.73613,                 0.8433,                0.56275,                0.65401,                0.44143,                0.38527,                0.19618,                 1.3564,                 4.9307,                  0.348,                 1.1143,                 1.5646,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.0923,                 3.7693,                0.24766,                0.84086,                 1.2435,                0.87789,                 0.7358,                0.83728,                0.58175,                0.71483,                0.50073,                0.44327,                0.21206,                 1.2501,                 4.6686,                0.33748,                  1.093,                 1.4832,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.0949,                  3.765,                0.24393,                 0.8439,                 1.2442,                0.88402,                0.76819,                0.86063,                0.58958,                0.71447,                0.49938,                0.44822,                0.23031,                 1.2725,                 4.5895,                0.32871,                 1.0539,                 1.4885,               0.001604,               0.001604,               0.001604
                     13,                 1.0679,                 3.7179,                0.23789,                0.81494,                 1.2299,                 0.8984,                0.76327,                 0.8625,                0.59616,                0.75078,                0.53144,                0.50984,                0.25399,                 1.2397,                 4.3754,                0.32018,                  1.016,                 1.4754,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.0511,                 3.6797,                0.23883,                0.80261,                 1.2162,                0.93742,                 0.7349,                0.86511,                0.59099,                 0.7325,                0.49199,                0.45077,                0.24439,                 1.2664,                 4.5524,                0.33266,                 1.0451,                 1.4924,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.0541,                 3.6121,                0.23974,                0.79549,                 1.2252,                0.89663,                0.75586,                0.86697,                0.58416,                0.76872,                0.51541,                0.50061,                 0.2629,                 1.2337,                 4.3836,                 0.3448,                 1.0241,                 1.4625,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.0277,                 3.5991,                0.23912,                0.78745,                 1.2066,                0.90586,                0.77559,                0.86897,                0.60497,                 0.7358,                0.51418,                0.49973,                0.26874,                 1.2224,                 4.5191,                0.33988,                0.98901,                 1.4427,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.0139,                 3.5041,                0.22863,                0.76142,                 1.2045,                0.91606,                0.77189,                 0.8797,                0.61709,                0.79388,                 0.5672,                0.55333,                0.30302,                 1.1801,                 4.1469,                0.31615,                0.93457,                 1.4223,               0.001406,               0.001406,               0.001406
                     18,                 1.0114,                 3.4283,                0.22972,                0.75564,                 1.1954,                0.92437,                0.75709,                0.88027,                0.61697,                0.78472,                0.52281,                0.51169,                0.27615,                 1.1572,                 4.2461,                0.30831,                0.96304,                  1.381,              0.0013664,              0.0013664,              0.0013664
                     19,                0.98211,                 3.4583,                 0.2276,                0.74083,                 1.1834,                0.89347,                0.79531,                0.88171,                0.63381,                0.75439,                 0.5561,                0.52027,                0.27559,                 1.1578,                 4.1722,                0.30889,                0.95425,                 1.3868,              0.0013268,              0.0013268,              0.0013268
                     20,                0.97984,                 3.3833,                0.22348,                0.74058,                 1.1847,                0.89737,                0.81941,                0.89154,                0.62746,                0.73457,                 0.5187,                0.48619,                0.25985,                 1.1635,                 4.3042,                0.30956,                0.94558,                 1.3932,              0.0012872,              0.0012872,              0.0012872
                     21,                0.96348,                 3.3016,                0.21872,                0.71411,                 1.1706,                0.92548,                0.80518,                0.88934,                0.63988,                 0.7034,                0.52158,                0.46911,                0.24954,                 1.1259,                 4.3594,                0.30166,                0.90128,                 1.3919,              0.0012476,              0.0012476,              0.0012476
                     22,                0.95441,                 3.3152,                0.22567,                0.70828,                 1.1651,                0.91318,                0.80025,                0.89384,                 0.6368,                0.73203,                0.52404,                0.49493,                0.26424,                 1.1156,                 4.3561,                0.29248,                0.88258,                  1.353,               0.001208,               0.001208,               0.001208
                     23,                0.94963,                 3.2481,                0.22174,                0.71552,                 1.1622,                0.90209,                0.80641,                 0.8977,                0.64315,                0.77839,                0.59768,                0.57099,                0.27967,                 1.0995,                 3.8755,                0.30642,                0.86817,                 1.3461,              0.0011684,              0.0011684,              0.0011684
                     24,                0.95381,                 3.2684,                0.22245,                0.71548,                 1.1681,                0.91942,                0.79162,                 0.9035,                0.64963,                0.77922,                0.55703,                0.52681,                0.27385,                 1.1174,                 4.0688,                0.30512,                0.84945,                 1.3626,              0.0011288,              0.0011288,              0.0011288
                     25,                 0.9377,                 3.1547,                0.21466,                0.69009,                 1.1527,                0.91731,                0.80764,                0.89129,                0.65129,                0.77653,                0.58323,                0.56779,                0.29823,                  1.111,                 3.8374,                  0.289,                 0.8599,                 1.3423,              0.0010892,              0.0010892,              0.0010892
