                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.141,                 4.0442,                0.25974,                0.79622,                 1.2462,                0.86078,                0.75586,                  0.826,                0.49997,                0.50521,                0.37731,                0.24842,                 0.0819,                 1.4691,                  5.282,                0.35025,                  1.335,                 1.6147,             0.00066365,             0.00066365,             0.00066365
                      2,                 1.2745,                 4.5033,                0.27738,                0.98508,                 1.3421,                0.76579,                0.71147,                0.75544,                0.45663,                0.43955,                0.34649,                0.23112,                0.09803,                 1.5736,                 5.7544,                0.41721,                 1.5844,                 1.7423,              0.0013128,              0.0013128,              0.0013128
                      3,                 1.3068,                 4.7538,                 0.2898,                 1.0519,                 1.3663,                0.82979,                0.62392,                0.74144,                0.43253,                0.56169,                0.35388,                0.29482,                0.11412,                 1.6293,                 5.8951,                0.46533,                 1.7463,                 1.8832,              0.0019443,              0.0019443,              0.0019443
                      4,                 1.2785,                 4.6305,                0.28576,                 1.0313,                 1.3536,                0.86673,                0.64151,                0.78039,                0.46879,                0.67343,                0.39951,                0.37767,                0.18569,                 1.5359,                 5.4094,                0.37809,                 1.4966,                 1.7241,              0.0019208,              0.0019208,              0.0019208
                      5,                 1.2407,                 4.3626,                0.27573,                0.98524,                 1.3366,                0.83999,                0.62392,                0.74254,                0.47872,                0.70265,                0.40074,                0.38497,                0.18005,                 1.6025,                 5.5518,                0.41466,                 1.4864,                 1.7391,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.2083,                 4.3043,                 0.2686,                0.96595,                 1.3111,                0.83144,                0.72873,                0.80506,                0.51334,                0.77435,                0.45129,                0.44072,                0.20755,                  1.493,                 4.9626,                0.34802,                 1.3819,                 1.6982,              0.0018944,              0.0018944,              0.0018944
                      7,                 1.1612,                 4.1105,                0.25733,                0.91738,                 1.2794,                0.84143,                0.74229,                0.82939,                0.55063,                0.61288,                0.36868,                0.32628,                0.17521,                 1.3177,                 5.5217,                 0.3406,                 1.2847,                 1.5573,               0.001868,               0.001868,               0.001868
                      8,                 1.1624,                 4.1186,                0.26211,                0.91451,                 1.2885,                0.83596,                 0.7238,                0.82005,                0.52826,                0.68065,                0.43773,                0.39929,                0.21055,                 1.4135,                  4.988,                0.35759,                 1.2794,                 1.6189,              0.0018416,              0.0018416,              0.0018416
                      9,                 1.1398,                  4.016,                0.25168,                0.88403,                 1.2728,                0.83541,                0.73228,                0.82477,                 0.5581,                0.71567,                 0.4291,                  0.399,                0.20907,                 1.3276,                 5.0891,                0.33757,                 1.1805,                 1.5456,              0.0018152,              0.0018152,              0.0018152
                     10,                 1.1385,                 3.9216,                0.25359,                0.88828,                 1.2699,                0.86404,                0.76449,                0.84026,                0.55414,                0.68178,                 0.4439,                0.41197,                0.21706,                 1.3578,                 4.9469,                0.35691,                 1.1831,                 1.5519,              0.0017888,              0.0017888,              0.0017888
                     11,                 1.0992,                 3.8096,                0.24947,                0.85029,                 1.2493,                0.86529,                0.77805,                0.84768,                  0.568,                0.74976,                0.47719,                0.45845,                 0.2464,                 1.3253,                 4.7711,                0.32971,                 1.1107,                 1.5571,              0.0017624,              0.0017624,              0.0017624
                     12,                 1.1092,                 3.8201,                0.24573,                0.84657,                 1.2555,                0.85533,                 0.7275,                0.81272,                0.55477,                0.69538,                0.46609,                0.42422,                0.22968,                 1.3273,                 4.8224,                0.35924,                 1.1984,                 1.5708,               0.001736,               0.001736,               0.001736
                     13,                 1.0791,                 3.7563,                0.23774,                0.81827,                 1.2342,                0.89222,                0.76559,                0.86251,                0.58793,                0.66653,                0.46826,                0.41655,                0.22727,                 1.2719,                 4.6982,                0.32957,                 1.0719,                 1.4709,              0.0017096,              0.0017096,              0.0017096
                     14,                 1.0576,                 3.6919,                0.23957,                0.80813,                 1.2228,                0.91343,                0.75586,                0.85688,                0.59579,                0.73034,                0.47226,                0.44751,                0.23103,                 1.2595,                 4.6599,                0.33168,                 1.0194,                 1.4657,              0.0016832,              0.0016832,              0.0016832
                     15,                 1.0611,                 3.7245,                0.24341,                0.80729,                 1.2286,                0.87766,                0.72873,                0.83943,                0.57461,                0.75114,                0.46609,                0.44959,                0.23995,                 1.2518,                 4.8339,                0.32728,                 1.0933,                 1.4825,              0.0016568,              0.0016568,              0.0016568
                     16,                 1.0358,                 3.6484,                0.24148,                0.79677,                 1.2109,                0.88213,                0.77435,                0.86602,                0.58466,                0.66517,                0.47842,                0.41738,                0.21372,                 1.2586,                 4.6838,                0.31927,                0.98975,                 1.4885,              0.0016304,              0.0016304,              0.0016304
                     17,                 1.0197,                 3.5633,                0.23128,                 0.7638,                 1.2078,                0.91059,                0.76942,                 0.8677,                0.60928,                0.70225,                0.49322,                0.45624,                0.25074,                 1.1972,                 4.5207,                0.32146,                0.97645,                   1.44,               0.001604,               0.001604,               0.001604
                     18,                 1.0316,                 3.5009,                0.23335,                0.77645,                 1.2096,                0.91348,                0.74599,                0.85812,                 0.5942,                0.73835,                0.48952,                 0.4662,                0.25552,                 1.2149,                 4.5542,                0.32439,                 1.0421,                 1.4344,              0.0015776,              0.0015776,              0.0015776
                     19,                 1.0101,                 3.5627,                0.23211,                0.76829,                 1.1947,                0.89902,                0.77945,                0.86816,                0.61391,                0.70779,                0.50308,                0.45289,                0.24383,                 1.1684,                 4.6049,                0.31781,                0.96751,                 1.4126,              0.0015512,              0.0015512,              0.0015512
                     20,                0.99751,                 3.4462,                0.22832,                0.75348,                 1.1952,                 0.9307,                0.76173,                 0.8694,                0.61369,                0.76347,                0.53514,                0.49594,                0.26642,                 1.1575,                 4.3341,                0.31663,                0.95939,                  1.405,              0.0015248,              0.0015248,              0.0015248
                     21,                0.99872,                 3.3989,                0.22166,                0.74805,                 1.1893,                0.91347,                0.79162,                0.88278,                0.62908,                0.72294,                0.52158,                0.48467,                0.25844,                 1.1447,                  4.448,                 0.3037,                0.91225,                 1.3861,              0.0014984,              0.0014984,              0.0014984
                     22,                0.97998,                 3.4059,                0.22816,                0.73482,                 1.1793,                0.88828,                0.77189,                0.86696,                0.60929,                0.68397,                0.47719,                0.40909,                0.23091,                 1.1982,                 4.6371,                0.31964,                 1.0003,                 1.4456,               0.001472,               0.001472,               0.001472
                     23,                0.97825,                 3.3594,                0.22684,                0.74031,                   1.18,                0.92764,                0.78545,                0.89222,                0.63359,                0.80256,                0.56636,                 0.5415,                0.29551,                 1.1516,                 4.0598,                0.30585,                0.90673,                 1.3968,              0.0014456,              0.0014456,              0.0014456
                     24,                0.96961,                 3.3658,                0.22641,                0.73518,                 1.1775,                0.92204,                0.77294,                0.89069,                0.64093,                0.76208,                0.53268,                0.51769,                0.28318,                 1.1151,                 4.3703,                0.30562,                0.90669,                  1.357,              0.0014192,              0.0014192,              0.0014192
                     25,                0.95952,                  3.281,                0.22154,                0.71432,                 1.1645,                0.89679,                0.78209,                0.87521,                0.62642,                0.72116,                0.51418,                0.46702,                0.26044,                 1.1944,                 4.2646,                0.30057,                0.94329,                 1.4346,              0.0013928,              0.0013928,              0.0013928
                     26,                0.96893,                 3.2849,                0.22022,                0.72435,                 1.1756,                 0.8727,                0.80148,                0.88347,                0.62674,                0.69223,                0.50197,                0.46185,                 0.2607,                 1.1488,                 4.4936,                0.30736,                0.91148,                 1.3905,              0.0013664,              0.0013664,              0.0013664
                     27,                0.95271,                 3.2809,                0.21678,                0.71661,                  1.163,                0.92108,                0.79778,                0.88708,                0.63535,                0.63157,                0.47596,                0.39409,                0.23581,                 1.1388,                 4.6208,                0.30622,                0.87933,                 1.3784,                0.00134,                0.00134,                0.00134
                     28,                0.94365,                 3.3419,                0.22494,                  0.721,                 1.1623,                0.89763,                0.81086,                 0.8789,                0.62865,                0.69131,                0.52898,                0.46921,                0.24997,                 1.1236,                 4.3325,                0.31096,                0.93405,                 1.3536,              0.0013136,              0.0013136,              0.0013136
                     29,                0.93794,                 3.2508,                0.21998,                 0.7028,                 1.1564,                0.89751,                0.81998,                0.90181,                0.65406,                0.64378,                0.47472,                0.40541,                0.23559,                 1.1011,                 4.6013,                0.31001,                0.86327,                 1.3532,              0.0012872,              0.0012872,              0.0012872
                     30,                0.93519,                 3.1625,                0.21582,                0.68906,                 1.1571,                0.90928,                 0.8033,                0.89303,                0.62971,                   0.68,                0.50308,                0.44683,                0.25135,                 1.1488,                 4.3378,                0.29965,                0.86751,                 1.3871,              0.0012608,              0.0012608,              0.0012608
                     31,                0.92025,                 3.1514,                0.21294,                0.67913,                 1.1472,                0.92446,                0.77928,                0.87861,                0.63996,                0.68206,                0.52528,                  0.447,                0.23181,                 1.0984,                 4.3509,                 0.3065,                0.84809,                 1.3638,              0.0012344,              0.0012344,              0.0012344
                     32,                0.92049,                 3.0607,                0.20679,                0.66792,                 1.1426,                0.90383,                0.82274,                0.89187,                0.64181,                0.70829,                0.55487,                0.51149,                0.28113,                 1.1234,                  4.017,                0.31537,                0.82584,                   1.37,               0.001208,               0.001208,               0.001208
                     33,                 0.8969,                 3.0953,                 0.2149,                0.66951,                 1.1337,                0.89805,                0.81381,                0.90003,                0.65418,                0.74755,                0.55117,                0.51358,                0.28869,                 1.0755,                 4.1596,                0.29927,                0.84126,                 1.3241,              0.0011816,              0.0011816,              0.0011816
                     34,                0.90156,                 3.0618,                0.20943,                0.66845,                 1.1415,                0.94014,                0.79394,                 0.8977,                0.65143,                0.69882,                0.52774,                0.47303,                0.26368,                 1.0941,                 4.3741,                0.29679,                0.83044,                 1.3451,              0.0011552,              0.0011552,              0.0011552
                     35,                0.91131,                  3.084,                0.21754,                0.67361,                 1.1402,                0.92375,                0.79038,                0.89727,                0.65619,                0.69874,                0.51911,                0.48306,                0.28509,                 1.0868,                 4.3708,                0.29234,                0.82063,                  1.326,              0.0011288,              0.0011288,              0.0011288
                     36,                0.90112,                   3.02,                0.20799,                0.66557,                 1.1399,                0.92621,                0.82023,                0.90799,                0.66348,                0.73051,                0.55734,                 0.5081,                0.28331,                 1.0613,                 4.1002,                0.28274,                0.80333,                 1.3195,              0.0011024,              0.0011024,              0.0011024
                     37,                0.89408,                 2.9856,                0.20915,                0.65553,                 1.1288,                 0.9203,                0.81628,                0.89678,                0.65131,                0.71559,                0.53514,                0.49227,                0.27983,                 1.0804,                 4.1624,                0.28628,                0.82548,                 1.3281,               0.001076,               0.001076,               0.001076
                     38,                0.89148,                 2.9924,                0.20867,                0.65465,                 1.1316,                0.87238,                0.83442,                0.89219,                0.66178,                0.65798,                0.51048,                0.43049,                0.25636,                 1.0658,                 4.4433,                0.28809,                0.80011,                 1.3342,              0.0010496,              0.0010496,              0.0010496
                     39,                0.87884,                 2.9262,                0.20624,                0.64259,                 1.1283,                0.92017,                0.81008,                  0.904,                0.65992,                 0.6602,                0.51911,                0.43432,                0.25486,                 1.0578,                 4.5125,                0.28693,                0.78832,                 1.3204,              0.0010232,              0.0010232,              0.0010232
                     40,                0.86574,                 2.9585,                0.21172,                0.65097,                 1.1312,                0.90191,                0.81504,                0.90505,                0.66473,                0.72077,                0.57928,                0.51501,                0.28936,                 1.0424,                 4.0548,                0.29162,                0.78473,                  1.311,              0.0009968,              0.0009968,              0.0009968
                     41,                0.86622,                  2.938,                0.20815,                0.64729,                 1.1208,                0.93435,                0.82491,                0.90598,                0.67239,                0.72541,                0.56681,                0.53271,                0.29044,                 1.0419,                 4.0592,                0.29621,                0.77706,                 1.3141,              0.0009704,              0.0009704,              0.0009704
                     42,                0.85878,                 2.8393,                0.20528,                0.63826,                 1.1133,                0.92668,                0.81258,                0.90902,                0.67566,                0.64344,                0.49445,                0.41949,                0.25877,                 1.0511,                 4.5388,                0.29142,                0.78565,                 1.3113,               0.000944,               0.000944,               0.000944
                     43,                0.85362,                 2.8694,                0.20396,                0.62532,                 1.1148,                0.93804,                0.81134,                0.91171,                0.66832,                0.72584,                0.57583,                0.52671,                0.30173,                 1.0451,                 3.9949,                0.29024,                0.78013,                 1.2997,              0.0009176,              0.0009176,              0.0009176
                     44,                0.85595,                 2.7965,                  0.203,                0.61756,                 1.1146,                 0.9207,                0.83231,                0.90611,                0.66775,                0.66717,                0.53144,                0.46686,                0.27953,                 1.0584,                 4.3053,                0.29227,                0.78688,                 1.3177,              0.0008912,              0.0008912,              0.0008912
                     45,                0.84412,                 2.8922,                0.20405,                0.62302,                 1.1111,                0.93726,                0.80518,                 0.9048,                0.67852,                0.74455,                 0.5746,                0.53656,                0.31705,                 1.0174,                 4.0192,                  0.292,                0.77854,                 1.2897,              0.0008648,              0.0008648,              0.0008648
                     46,                0.84453,                 2.8108,                0.20494,                0.62258,                 1.1113,                0.94026,                0.81505,                0.90604,                0.67222,                 0.7647,                0.59186,                0.55594,                0.30881,                 1.0397,                 3.9073,                 0.2911,                0.77779,                 1.3011,              0.0008384,              0.0008384,              0.0008384
                     47,                0.83241,                 2.7645,                0.20558,                0.60543,                 1.1049,                0.92209,                0.84587,                0.91492,                0.67588,                0.77769,                0.60173,                0.57267,                0.33245,                   1.02,                 3.7835,                0.28541,                0.75404,                 1.2904,               0.000812,               0.000812,               0.000812
                     48,                 0.8275,                 2.7537,                0.19988,                0.60278,                 1.1011,                0.91575,                0.81757,                0.90657,                0.67612,                0.76595,                0.57301,                0.56385,                0.32682,                  1.035,                 3.8172,                0.28613,                0.75518,                 1.3013,              0.0007856,              0.0007856,              0.0007856
                     49,                0.81662,                 2.6952,                0.19732,                0.59963,                 1.0943,                0.93125,                0.83517,                0.91447,                0.68734,                0.74697,                0.56473,                0.52393,                0.31647,                0.99962,                 3.9473,                0.28146,                0.74231,                 1.2759,              0.0007592,              0.0007592,              0.0007592
                     50,                0.81244,                 2.7157,                0.20248,                0.60435,                 1.0924,                0.92241,                0.82737,                0.91348,                0.68016,                0.70222,                0.53792,                0.49402,                0.29739,                 1.0296,                 4.1082,                0.27923,                0.74799,                 1.2965,              0.0007328,              0.0007328,              0.0007328
                     51,                0.80467,                 2.6569,                0.19597,                0.59264,                 1.0913,                0.90882,                0.83572,                0.90956,                0.68215,                0.74486,                 0.5783,                0.52594,                0.31726,                0.99994,                 3.9907,                0.28492,                0.74703,                 1.2738,              0.0007064,              0.0007064,              0.0007064
                     52,                0.81001,                 2.6488,                0.19762,                0.59112,                 1.0917,                0.94282,                0.81329,                0.90931,                0.67867,                0.73726,                0.58446,                0.54026,                0.30734,                 1.0296,                 3.9062,                0.28195,                0.75839,                 1.2914,                0.00068,                0.00068,                0.00068
                     53,                0.80039,                 2.6169,                0.19545,                0.59119,                 1.0871,                0.91911,                0.83107,                0.90946,                0.68505,                0.70487,                0.55364,                0.49029,                0.29873,                  1.025,                 4.2188,                0.27517,                0.75339,                 1.2846,              0.0006536,              0.0006536,              0.0006536
                     54,                0.80551,                 2.5826,                0.19642,                0.59112,                 1.0914,                0.95446,                0.82691,                0.91522,                0.68495,                0.74977,                0.58007,                0.53955,                0.30893,                 0.9974,                 3.9521,                0.28291,                0.73971,                 1.2656,              0.0006272,              0.0006272,              0.0006272
                     55,                0.79203,                  2.588,                0.19524,                0.57519,                 1.0783,                0.91181,                 0.8397,                0.91294,                0.68633,                0.72989,                0.58308,                 0.5258,                0.32272,                0.99772,                  3.813,                0.28041,                0.72115,                 1.2673,              0.0006008,              0.0006008,              0.0006008
                     56,                0.79596,                 2.5879,                0.19426,                0.58036,                 1.0863,                0.93152,                0.83477,                0.91553,                0.69518,                 0.7736,                0.59309,                0.56896,                0.33311,                0.98798,                 3.8341,                0.27176,                0.72074,                 1.2652,              0.0005744,              0.0005744,              0.0005744
                     57,                0.79121,                 2.5556,                0.19267,                0.57637,                 1.0849,                0.90769,                0.84876,                0.91309,                0.69046,                0.76013,                0.59186,                0.56169,                0.32119,                0.99923,                 3.7847,                0.27437,                0.72693,                 1.2771,               0.000548,               0.000548,               0.000548
                     58,                0.77571,                 2.5019,                0.18872,                0.56996,                 1.0756,                0.94497,                0.82578,                0.91629,                0.69285,                0.77392,                0.61159,                0.57299,                0.34933,                 1.0091,                 3.7004,                 0.2727,                 0.7088,                 1.2817,              0.0005216,              0.0005216,              0.0005216
                     59,                0.76707,                 2.4557,                0.19272,                0.55907,                 1.0651,                0.91107,                0.85898,                 0.9196,                0.69691,                0.70074,                0.55435,                0.48816,                0.29506,                0.98487,                 4.1512,                0.27352,                0.69865,                  1.269,              0.0004952,              0.0004952,              0.0004952
                     60,                0.77754,                 2.4823,                0.19462,                0.56075,                 1.0731,                0.91964,                0.84665,                0.92057,                0.69801,                 0.7625,                0.60419,                0.56735,                0.34388,                0.98788,                 3.7588,                0.27617,                0.70865,                 1.2648,              0.0004688,              0.0004688,              0.0004688
                     61,                0.75758,                 2.3844,                0.18785,                0.55249,                 1.0612,                0.95167,                0.82549,                0.91868,                0.69459,                0.75513,                0.62392,                0.57259,                 0.3447,                 0.9751,                 3.6813,                0.27444,                0.70304,                 1.2554,              0.0004424,              0.0004424,              0.0004424
                     62,                0.76321,                 2.4694,                0.18702,                0.55724,                 1.0677,                0.91006,                 0.8484,                0.92304,                0.70006,                 0.7182,                0.58816,                0.53998,                0.32722,                0.97047,                 3.8744,                0.27213,                0.71931,                 1.2512,               0.000416,               0.000416,               0.000416
